CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-510,Stanislaus County CoC,55-64,582
2018,CA-510,Stanislaus County CoC,65+,158
2018,CA-510,Stanislaus County CoC,Under 18,2133
2018,CA-510,Stanislaus County CoC,Unknown,89
2018,CA-511,San Joaquin County CoC,18-24,888
2018,CA-511,San Joaquin County CoC,25-34,1861
2018,CA-511,San Joaquin County CoC,35-44,1409
2018,CA-511,San Joaquin County CoC,45-54,1135
2018,CA-511,San Joaquin County CoC,55-64,829
2018,CA-511,San Joaquin County CoC,65+,267
2018,CA-511,San Joaquin County CoC,Under 18,4362
2018,CA-511,San Joaquin County CoC,Unknown,208
2018,CA-512,San Mateo County CoC,18-24,283
2018,CA-512,San Mateo County CoC,25-34,670
2018,CA-512,San Mateo County CoC,35-44,628
2018,CA-512,San Mateo County CoC,45-54,663
2018,CA-512,San Mateo County CoC,55-64,594
2018,CA-512,San Mateo County CoC,65+,214
2018,CA-512,San Mateo County CoC,Under 18,1213
2018,CA-512,San Mateo County CoC,Unknown,72
2018,CA-513,"Kings, Tulare Counties CoC",18-24,273
2018,CA-513,"Kings, Tulare Counties CoC",25-34,542
2018,CA-513,"Kings, Tulare Counties CoC",35-44,576
2018,CA-513,"Kings, Tulare Counties CoC",45-54,435
2018,CA-513,"Kings, Tulare Counties CoC",55-64,268
2018,CA-513,"Kings, Tulare Counties CoC",65+,76
2018,CA-513,"Kings, Tulare Counties CoC",Under 18,786
2018,CA-513,"Kings, Tulare Counties CoC",Unknown,44
2018,CA-514,"Fresno, Madera Counties CoC",18-24,222
2018,CA-514,"Fresno, Madera Counties CoC",25-34,335
2018,CA-514,"Fresno, Madera Counties CoC",35-44,343
2018,CA-514,"Fresno, Madera Counties CoC",45-54,408
2018,CA-514,"Fresno, Madera Counties CoC",55-64,393
2018,CA-514,"Fresno, Madera Counties CoC",65+,110
2018,CA-514,"Fresno, Madera Counties CoC",Under 18,585
2018,CA-514,"Fresno, Madera Counties CoC",Unknown,37
2018,CA-515,Placer County CoC,18-24,88
2018,CA-515,Placer County CoC,25-34,249
2018,CA-515,Placer County CoC,35-44,250
2018,CA-515,Placer County CoC,45-54,273
2018,CA-515,Placer County CoC,55-64,221
2018,CA-515,Placer County CoC,65+,72
2018,CA-515,Placer County CoC,Under 18,332
2018,CA-515,Placer County CoC,Unknown,14
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,34
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,109
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,97
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,66
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,86
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,23
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,102
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,101
2018,CA-517,Napa County CoC,18-24,68
2018,CA-517,Napa County CoC,25-34,179
2018,CA-517,Napa County CoC,35-44,174
2018,CA-517,Napa County CoC,45-54,180
2018,CA-517,Napa County CoC,55-64,180
2018,CA-517,Napa County CoC,65+,37
2018,CA-517,Napa County CoC,Under 18,138
2018,CA-517,Napa County CoC,Unknown,*
2018,CA-518,Solano County CoC,18-24,54
2018,CA-518,Solano County CoC,25-34,166
2018,CA-518,Solano County CoC,35-44,144
2018,CA-518,Solano County CoC,45-54,141
2018,CA-518,Solano County CoC,55-64,179
2018,CA-518,Solano County CoC,65+,52
2018,CA-518,Solano County CoC,Under 18,173
2018,CA-518,Solano County CoC,Unknown,*
2018,CA-519,Butte County CoC,18-24,121
2018,CA-519,Butte County CoC,25-34,271
2018,CA-519,Butte County CoC,35-44,243
2018,CA-519,Butte County CoC,45-54,236
2018,CA-519,Butte County CoC,55-64,217
2018,CA-519,Butte County CoC,65+,84
2018,CA-519,Butte County CoC,Under 18,319
2018,CA-519,Butte County CoC,Unknown,27
2018,CA-520,Merced County CoC,18-24,68
2018,CA-520,Merced County CoC,25-34,156
2018,CA-520,Merced County CoC,35-44,187
2018,CA-520,Merced County CoC,45-54,206
2018,CA-520,Merced County CoC,55-64,220
2018,CA-520,Merced County CoC,65+,58
2018,CA-520,Merced County CoC,Under 18,20
2018,CA-520,Merced County CoC,Unknown,*
2018,CA-521,Yolo County CoC,18-24,87
2018,CA-521,Yolo County CoC,25-34,164
2018,CA-521,Yolo County CoC,35-44,166
2018,CA-521,Yolo County CoC,45-54,124
2018,CA-521,Yolo County CoC,55-64,104
2018,CA-521,Yolo County CoC,65+,22
2018,CA-521,Yolo County CoC,Under 18,308
2018,CA-521,Yolo County CoC,Unknown,*
2018,CA-522,Humboldt County CoC,18-24,163
2018,CA-522,Humboldt County CoC,25-34,171
2018,CA-522,Humboldt County CoC,35-44,153
2018,CA-522,Humboldt County CoC,45-54,128
2018,CA-522,Humboldt County CoC,55-64,118
2018,CA-522,Humboldt County CoC,65+,38
2018,CA-522,Humboldt County CoC,Under 18,289
2018,CA-522,Humboldt County CoC,Unknown,21
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,37
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,64
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,32
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,13
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,189
